game_id,timestamp,green_engine,green_level,yellow_engine,yellow_level,ruleset_bits,first_player,winner,duration_s,status
g_1779627277777_18226,2026-05-24T14:56:44+02:00,negamontecarlo,10,negamontecarlo,0,5,yellow,green,127,ok
g_1779627106986_16997,2026-05-24T14:57:46+02:00,negamontecarlo,10,negamontecarlo,0,4,yellow,green,360,ok
g_1779627230660_17624,2026-05-24T15:00:05+02:00,negamontecarlo,10,negamontecarlo,0,5,green,green,375,ok
g_1779627106985_16999,2026-05-24T15:00:37+02:00,negamontecarlo,10,negamontecarlo,0,4,yellow,green,531,ok
g_1779627466532_18571,2026-05-24T15:02:29+02:00,negamontecarlo,10,negamontecarlo,0,5,yellow,green,283,ok
g_1779627230661_17615,2026-05-24T15:03:22+02:00,negamontecarlo,10,negamontecarlo,0,5,green,green,572,ok
g_1779627230660_17600,2026-05-24T15:04:14+02:00,negamontecarlo,10,negamontecarlo,0,4,yellow,green,624,ok
g_1779627230660_17621,2026-05-24T15:04:15+02:00,negamontecarlo,10,negamontecarlo,0,5,yellow,green,625,ok
g_1779627230660_17603,2026-05-24T15:04:30+02:00,negamontecarlo,10,negamontecarlo,0,4,yellow,green,640,ok
g_1779627466529_18574,2026-05-24T15:04:32+02:00,negamontecarlo,10,negamontecarlo,0,6,yellow,green,406,ok
g_1779627277778_18222,2026-05-24T15:04:49+02:00,negamontecarlo,10,negamontecarlo,0,5,yellow,green,612,ok
g_1779627277791_18227,2026-05-24T15:04:58+02:00,negamontecarlo,10,negamontecarlo,0,5,green,green,621,ok
g_1779627466532_18568,2026-05-24T15:05:08+02:00,negamontecarlo,10,negamontecarlo,0,5,green,green,442,ok
g_1779626419804_12221,2026-05-24T15:06:01+02:00,negamontecarlo,10,negamontecarlo,0,2,unknown,green,1542,ok
g_1779627230660_17612,2026-05-24T15:06:03+02:00,negamontecarlo,10,negamontecarlo,0,4,yellow,green,733,ok
g_1779627637449_18976,2026-05-24T15:06:35+02:00,negamontecarlo,10,negamontecarlo,0,6,green,green,358,ok
g_1779627230660_17597,2026-05-24T15:06:54+02:00,negamontecarlo,10,negamontecarlo,0,4,green,green,784,ok
g_1779627230660_17609,2026-05-24T15:08:39+02:00,negamontecarlo,10,negamontecarlo,0,4,yellow,green,889,ok
g_1779628014713_19692,2026-05-24T15:09:31+02:00,negamontecarlo,10,negamontecarlo,0,6,green,green,157,ok
g_1779627230662_17618,2026-05-24T15:12:03+02:00,negamontecarlo,10,negamontecarlo,0,5,yellow,green,1093,ok
g_1779628014712_19695,2026-05-24T15:14:27+02:00,negamontecarlo,10,negamontecarlo,0,6,yellow,green,453,ok
g_1779628014713_19700,2026-05-24T15:15:13+02:00,negamontecarlo,10,negamontecarlo,0,6,yellow,green,499,ok
g_1779628014712_19680,2026-05-24T15:15:28+02:00,negamontecarlo,10,negamontecarlo,0,6,green,green,514,ok
g_1779628014712_19701,2026-05-24T15:16:00+02:00,negamontecarlo,10,negamontecarlo,0,7,green,green,546,ok
g_1779627230660_17626,2026-05-24T15:16:04+02:00,negamontecarlo,10,negamontecarlo,0,5,yellow,green,1334,ok
g_1779628323075_20723,2026-05-24T15:16:13+02:00,negamontecarlo,10,negamontecarlo,0,7,yellow,green,250,ok
g_1779627637450_18973,2026-05-24T15:16:28+02:00,negamontecarlo,10,negamontecarlo,0,6,green,green,951,ok
g_1779628014713_19707,2026-05-24T15:18:03+02:00,negamontecarlo,10,negamontecarlo,0,7,green,green,669,ok
g_1779628014712_19683,2026-05-24T15:18:50+02:00,negamontecarlo,10,negamontecarlo,0,6,yellow,green,716,ok
g_1779628014712_19704,2026-05-24T15:19:06+02:00,negamontecarlo,10,negamontecarlo,0,7,yellow,green,732,ok
g_1779628119647_20375,2026-05-24T15:19:34+02:00,negamontecarlo,10,negamontecarlo,0,7,yellow,green,655,ok
g_1779628564075_21046,2026-05-24T15:25:07+02:00,negamontecarlo,10,negamontecarlo,0,7,green,yellow,543,ok
g_1779628014713_19689,2026-05-24T15:26:36+02:00,negamontecarlo,10,negamontecarlo,0,6,yellow,green,1182,ok
g_1779628014713_19686,2026-05-24T15:28:11+02:00,negamontecarlo,10,negamontecarlo,0,6,yellow,yellow,1277,ok
g_1779628014713_19712,2026-05-24T15:32:02+02:00,negamontecarlo,10,negamontecarlo,0,7,yellow,green,1508,ok
g_1779628323077_20722,2026-05-24T15:35:21+02:00,negamontecarlo,10,negamontecarlo,0,7,yellow,green,1398,ok
g_1779628014713_19710,2026-05-24T15:36:54+02:00,negamontecarlo,10,negamontecarlo,0,7,green,timeout,1800,timeout
g_1779628564076_21043,2026-05-24T15:46:04+02:00,negamontecarlo,10,negamontecarlo,0,7,yellow,timeout,1800,timeout
